localidade,coluna_idx,valor
Amapá,41,39.02
Amapá,42,30.93
Amapá,43,9.32
Amapá,44,6.99
Amapá,45,9.6
Tocantins,1,27.42
Tocantins,2,10.67
Tocantins,3,28.73
Tocantins,4,98.7
Tocantins,5,92.13
Tocantins,6,98.85
Tocantins,7,86.09
Tocantins,8,81.46
Tocantins,9,86.22
Tocantins,10,28.76
Tocantins,11,25.83
Tocantins,12,28.85
Tocantins,13,5.55
Tocantins,14,3.64
Tocantins,15,5.75
Tocantins,16,26.81
Tocantins,17,10.87
Tocantins,18,27.98
Tocantins,19,98.59
Tocantins,20,93.16
Tocantins,21,98.73
Tocantins,22,85.79
Tocantins,23,79.97
Tocantins,24,85.94
Tocantins,25,25.84
Tocantins,26,20.83
Tocantins,27,25.99
Tocantins,28,4.69
Tocantins,29,3.33
Tocantins,30,4.82
Tocantins,31,28.02
Tocantins,32,10.5
Tocantins,33,29.5
Tocantins,34,98.81
Tocantins,35,90.85
Tocantins,36,98.97
Tocantins,37,86.39
Tocantins,38,82.68
Tocantins,39,86.51
Tocantins,40,31.7
Tocantins,41,29.92
Tocantins,42,31.76
Tocantins,43,6.4
Tocantins,44,3.91
Tocantins,45,6.69
Nordeste,1,25.49
Nordeste,2,11.26
Nordeste,3,26.9
Nordeste,4,98.43
Nordeste,5,92.1
Nordeste,6,98.63
Nordeste,7,85.74
Nordeste,8,79.2
Nordeste,9,86.0
Nordeste,10,26.7
Nordeste,11,26.76
Nordeste,12,26.7
Nordeste,13,5.64
Nordeste,14,4.33
Nordeste,15,5.81
Nordeste,16,26.02
Nordeste,17,12.3
Nordeste,18,27.2
Nordeste,19,98.32
Nordeste,20,91.7
Nordeste,21,98.54
Nordeste,22,85.56
Nordeste,23,76.33
Nordeste,24,85.92
Nordeste,25,25.45
Nordeste,26,24.84
Nordeste,27,25.48
Nordeste,28,4.99
Nordeste,29,3.9
Nordeste,30,5.12
Nordeste,31,25.01
Nordeste,32,10.5
Nordeste,33,26.62
Nordeste,34,98.55
Nordeste,35,92.59
Nordeste,36,98.72
Nordeste,37,85.92
Nordeste,38,81.97
Nordeste,39,86.08
Nordeste,40,27.96
Nordeste,41,28.48
Nordeste,42,27.94
Nordeste,43,6.22
Nordeste,44,4.63
Nordeste,45,6.45
Maranhão,1,28.35
Maranhão,2,11.68
Maranhão,3,29.92
Maranhão,4,98.44
Maranhão,5,90.0
Maranhão,6,98.67
Maranhão,7,84.77
Maranhão,8,77.73
Maranhão,9,85.01
Maranhão,10,24.29
Maranhão,11,25.56
Maranhão,12,24.24
Maranhão,13,5.61
Maranhão,14,4.45
Maranhão,15,5.76
Maranhão,16,28.54
Maranhão,17,12.14
Maranhão,18,29.93
Maranhão,19,98.36
Maranhão,20,89.04
Maranhão,21,98.62
Maranhão,22,84.83
Maranhão,23,74.92
Maranhão,24,85.14
Maranhão,25,23.13
Maranhão,26,23.19
Maranhão,27,23.13
Maranhão,28,4.76
Maranhão,29,4.07
Maranhão,30,4.84
Maranhão,31,28.17
Maranhão,32,11.32
Maranhão,33,29.92
Maranhão,34,98.53
Maranhão,35,91.11
Maranhão,36,98.72
Maranhão,37,84.71
Maranhão,38,80.12
Maranhão,39,84.88
Maranhão,40,25.46
Maranhão,41,27.7
Maranhão,42,25.37
Maranhão,43,6.39
Maranhão,44,4.74
Maranhão,45,6.63
Piauí,1,26.12
Piauí,2,10.1
Piauí,3,27.86
Piauí,4,98.93
Piauí,5,90.12
Piauí,6,99.18
Piauí,7,87.89
Piauí,8,78.85
Piauí,9,88.2
Piauí,10,30.11
Piauí,11,28.35
Piauí,12,30.17
Piauí,13,5.96
Piauí,14,4.36
Piauí,15,6.19
Piauí,16,26.2
Piauí,17,10.57
Piauí,18,27.73
Piauí,19,98.84
Piauí,20,89.79
Piauí,21,99.13
Piauí,22,87.56
Piauí,23,73.7
Piauí,24,88.0
Piauí,25,27.63
Piauí,26,23.55
Piauí,27,27.77
Piauí,28,5.22
Piauí,29,4.04
Piauí,30,5.37
Piauí,31,26.04
Piauí,32,9.73
Piauí,33,27.98
Piauí,34,99.02
Piauí,35,90.54
Piauí,36,99.24
Piauí,37,88.23
Piauí,38,83.35
Piauí,39,88.42
Piauí,40,32.63
Piauí,41,32.86
Piauí,42,32.62
Piauí,43,6.64
Piauí,44,4.62
Piauí,45,6.96
Ceará,1,24.39
Ceará,2,11.45
Ceará,3,25.73
Ceará,4,98.61
Ceará,5,93.73
Ceará,6,98.78
Ceará,7,85.91
Ceará,8,79.37
Ceará,9,86.2
Ceará,10,24.27
Ceará,11,24.49
Ceará,12,24.26
Ceará,13,5.53
Ceará,14,4.2
Ceará,15,5.71
Ceará,16,24.99
Ceará,17,12.56
Ceará,18,26.12
Ceará,19,98.46
Ceará,20,93.36
Ceará,21,98.66
Ceará,22,85.63
Ceará,23,77.43
Ceará,24,85.99
Ceará,25,22.9
Ceará,26,22.71
Ceará,27,22.91
Ceará,28,5.1
Ceará,29,3.79
Ceará,30,5.26
Ceará,31,23.84
Ceará,32,10.61
Ceará,33,25.35
Ceará,34,98.77
Ceará,35,94.19
Ceará,36,98.91
Ceará,37,86.19
Ceará,38,81.22
Ceará,39,86.42
Ceará,40,25.65
Ceará,41,26.11
Ceará,42,25.63
Ceará,43,5.91
Ceará,44,4.5
Ceará,45,6.12
Rio Grande do Norte,1,25.47
Rio Grande do Norte,2,11.43
Rio Grande do Norte,3,26.9
Rio Grande do Norte,4,98.5
Rio Grande do Norte,5,92.58
Rio Grande do Norte,6,98.68
Rio Grande do Norte,7,87.49
Rio Grande do Norte,8,78.73
Rio Grande do Norte,9,87.86
Rio Grande do Norte,10,32.1
Rio Grande do Norte,11,31.36
Rio Grande do Norte,12,32.13
Rio Grande do Norte,13,6.2
Rio Grande do Norte,14,4.61
Rio Grande do Norte,15,6.41
Rio Grande do Norte,16,26.0
Rio Grande do Norte,17,12.48
Rio Grande do Norte,18,27.22
Rio Grande do Norte,19,98.4
Rio Grande do Norte,20,91.72
Rio Grande do Norte,21,98.63
Rio Grande do Norte,22,87.17
Rio Grande do Norte,23,76.72
